Line #,Key,en Version,az Translation
1,az.activerecord.models.highlight.one,Highlight,Highlight
2,az.activerecord.models.highlight.other,Highlights,Highlights
3,az.activerecord.models.illustration.one,Image,Image
4,az.activerecord.models.illustration.other,Images,Images
5,az.activerecord.models.illustration_annotation.one,Annotation,Annotation
6,az.activerecord.models.illustration_annotation.other,Annotations,Annotations
7,az.activerecord.models.illustration_issue.one,Image Issue,Image Issue
8,az.activerecord.models.illustration_issue.other,Image Issues,Image Issues
9,az.activerecord.models.illustration_publication.one,Image Source,Image Source
10,az.activerecord.models.illustration_publication.other,Image Sources,Image Sources
11,az.activerecord.models.illustration_tag.one,Image Tag,Image Tag
12,az.activerecord.models.illustration_tag.other,Image Tags,Image Tags
13,az.activerecord.models.issue.one,Issue,Issue
14,az.activerecord.models.issue.other,Issues,Issues
15,az.activerecord.models.news.one,News Item,News Item
16,az.activerecord.models.news.other,News,News
17,az.activerecord.models.page_content.one,Page Text,Page Text
18,az.activerecord.models.page_content.other,Page Text,Page Text
19,az.activerecord.models.person.one,Person,Person
20,az.activerecord.models.person.other,People,People
21,az.activerecord.models.person_role.one,Person,Person
22,az.activerecord.models.person_role.other,People,People
23,az.activerecord.models.publication.one,Source,Source
24,az.activerecord.models.publication.other,Sources,Sources
25,az.activerecord.models.publication_editor.one,Journal Editor,Journal Editor
26,az.activerecord.models.publication_editor.other,Journal Editors,Journal Editors
27,az.activerecord.models.publication_language.one,Language,Language
28,az.activerecord.models.publication_language.other,Languages,Languages
29,az.activerecord.models.related_item.one,Related Item,Related Item
30,az.activerecord.models.related_item.other,Related Items,Related Items
31,az.activerecord.models.research.one,Research,Research
32,az.activerecord.models.research.other,Research,Research
33,az.activerecord.models.role.one,Person Role,Person Role
34,az.activerecord.models.role.other,Person Roles,Person Roles
35,az.activerecord.models.slideshow.one,Slideshow Image,Slideshow Image
36,az.activerecord.models.slideshow.other,Slideshow Images,Slideshow Images
37,az.activerecord.models.tag.one,Tag,Tag
38,az.activerecord.models.tag.other,Tags,Tags
39,az.activerecord.models.user.one,User,User
40,az.activerecord.models.user.other,Users,Users
41,az.activerecord.attributes.highlight.is_public,Is Public?,Is Public?
42,az.activerecord.attributes.highlight.published_at,Date Made Public,Date Made Public
43,az.activerecord.attributes.highlight.title,Title,Title
44,az.activerecord.attributes.highlight.summary,Summary,Summary
45,az.activerecord.attributes.highlight.link,Link To,Link To
46,az.activerecord.attributes.highlight.cover_image,Cover Image,Cover Image
47,az.activerecord.attributes.highlight/translation.is_public,Is Public?,Is Public?
48,az.activerecord.attributes.highlight/translation.published_at,Date Made Public,Date Made Public
49,az.activerecord.attributes.highlight/translation.title,Title,Title
50,az.activerecord.attributes.highlight/translation.summary,Summary,Summary
51,az.activerecord.attributes.highlight/translation.link,Link To,Link To
52,az.activerecord.attributes.illustration.person_id,Person,Person
53,az.activerecord.attributes.illustration.image,Image,Image
54,az.activerecord.attributes.illustration.is_public,Is Public?,Is Public?
55,az.activerecord.attributes.illustration.published_at,Date Made Public,Date Made Public
56,az.activerecord.attributes.illustration.title,Title,Title
57,az.activerecord.attributes.illustration.context,Context,Context
58,az.activerecord.attributes.illustration.illustration_annotation,Annotation,Annotation
59,az.activerecord.attributes.illustration.illustration_annotations,Annotations,Annotations
60,az.activerecord.attributes.illustration.person_role,Person,Person
61,az.activerecord.attributes.illustration/translation.is_public,Is Public?,Is Public?
62,az.activerecord.attributes.illustration/translation.published_at,Date Made Public,Date Made Public
63,az.activerecord.attributes.illustration/translation.title,Title,Title
64,az.activerecord.attributes.illustration/translation.context,Context,Context
65,az.activerecord.attributes.illustration_annotations.sort,Sort,Sort
66,az.activerecord.attributes.illustration_annotations.annotation,Annotation,Annotation
67,az.activerecord.attributes.illustration_issue.illustration_id,Image,Image
68,az.activerecord.attributes.illustration_issue.issue_id,Issue,Issue
69,az.activerecord.attributes.illustration_issue.page_number_start,Page Number Start,Page Number Start
70,az.activerecord.attributes.illustration_issue.page_number_end,Page Number End,Page Number End
71,az.activerecord.attributes.illustration_issue.is_public,,
72,az.activerecord.attributes.illustration_publication.illustration_id,Image,Image
73,az.activerecord.attributes.illustration_publication.publication_id,Source,Source
74,az.activerecord.attributes.illustration_publication.page_number_start,Page Number Start,Page Number Start
75,az.activerecord.attributes.illustration_publication.page_number_end,Page Number End,Page Number End
76,az.activerecord.attributes.illustration_publication.is_public,Is Public?,Is Public?
77,az.activerecord.attributes.illustration_tag.illustration_id,Image,Image
78,az.activerecord.attributes.illustration_tag.tag_id,Tag,Tag
79,az.activerecord.attributes.issue.publication,Journal,Journal
80,az.activerecord.attributes.issue.publication_id,Journal,Journal
81,az.activerecord.attributes.issue.issue_number,Issue Number,Issue Number
82,az.activerecord.attributes.issue.date_publication,Publication Date,Publication Date
83,az.activerecord.attributes.issue.is_public,Is Public?,Is Public?
84,az.activerecord.attributes.issue.published_at,Date Made Public,Date Made Public
85,az.activerecord.attributes.issue.scanned_file,PDF File,PDF File
86,az.activerecord.attributes.issue.cover_image,Cover Image,Cover Image
87,az.activerecord.attributes.news.is_public,Is Public?,Is Public?
88,az.activerecord.attributes.news.published_at,Date Made Public,Date Made Public
89,az.activerecord.attributes.news.title,Title,Title
90,az.activerecord.attributes.news.summary,Summary,Summary
91,az.activerecord.attributes.news.text,Text,Text
92,az.activerecord.attributes.news.cover_image,Cover Image,Cover Image
93,az.activerecord.attributes.news.slideshow,Sliedshow Image,Sliedshow Image
94,az.activerecord.attributes.news.slideshows,Sliedshow Images,Sliedshow Images
95,az.activerecord.attributes.news.related_item,Related Item,Related Item
96,az.activerecord.attributes.news.related_items,Related Items,Related Items
97,az.activerecord.attributes.news.related_item_type,Type,Type
98,az.activerecord.attributes.news.publication_id,Source,Source
99,az.activerecord.attributes.news.issue_id,Issue,Issue
100,az.activerecord.attributes.news.illustration_id,Image,Image
101,az.activerecord.attributes.news/translation.is_public,Is Public?,Is Public?
