Line #,Key,en Version,ka Translation
1,ka.activerecord.models.highlight.one,Highlight,Highlight
2,ka.activerecord.models.highlight.other,Highlights,Highlights
3,ka.activerecord.models.illustration.one,Image,Image
4,ka.activerecord.models.illustration.other,Images,Images
5,ka.activerecord.models.illustration_annotation.one,Annotation,Annotation
6,ka.activerecord.models.illustration_annotation.other,Annotations,Annotations
7,ka.activerecord.models.illustration_issue.one,Image Issue,Image Issue
8,ka.activerecord.models.illustration_issue.other,Image Issues,Image Issues
9,ka.activerecord.models.illustration_publication.one,Image Source,Image Source
10,ka.activerecord.models.illustration_publication.other,Image Sources,Image Sources
11,ka.activerecord.models.illustration_tag.one,Image Tag,Image Tag
12,ka.activerecord.models.illustration_tag.other,Image Tags,Image Tags
13,ka.activerecord.models.issue.one,Issue,Issue
14,ka.activerecord.models.issue.other,Issues,Issues
15,ka.activerecord.models.news.one,News Item,News Item
16,ka.activerecord.models.news.other,News,News
17,ka.activerecord.models.page_content.one,Page Text,Page Text
18,ka.activerecord.models.page_content.other,Page Text,Page Text
19,ka.activerecord.models.person.one,Person,Person
20,ka.activerecord.models.person.other,People,People
21,ka.activerecord.models.person_role.one,Person,Person
22,ka.activerecord.models.person_role.other,People,People
23,ka.activerecord.models.publication.one,Source,Source
24,ka.activerecord.models.publication.other,Sources,Sources
25,ka.activerecord.models.publication_editor.one,Journal Editor,Journal Editor
26,ka.activerecord.models.publication_editor.other,Journal Editors,Journal Editors
27,ka.activerecord.models.publication_language.one,Language,Language
28,ka.activerecord.models.publication_language.other,Languages,Languages
29,ka.activerecord.models.related_item.one,Related Item,Related Item
30,ka.activerecord.models.related_item.other,Related Items,Related Items
31,ka.activerecord.models.research.one,Research,Research
32,ka.activerecord.models.research.other,Research,Research
33,ka.activerecord.models.role.one,Person Role,Person Role
34,ka.activerecord.models.role.other,Person Roles,Person Roles
35,ka.activerecord.models.slideshow.one,Slideshow Image,Slideshow Image
36,ka.activerecord.models.slideshow.other,Slideshow Images,Slideshow Images
37,ka.activerecord.models.tag.one,Tag,Tag
38,ka.activerecord.models.tag.other,Tags,Tags
39,ka.activerecord.models.user.one,User,User
40,ka.activerecord.models.user.other,Users,Users
41,ka.activerecord.attributes.highlight.is_public,Is Public?,Is Public?
42,ka.activerecord.attributes.highlight.published_at,Date Made Public,Date Made Public
43,ka.activerecord.attributes.highlight.title,Title,Title
44,ka.activerecord.attributes.highlight.summary,Summary,Summary
45,ka.activerecord.attributes.highlight.link,Link To,Link To
46,ka.activerecord.attributes.highlight.cover_image,Cover Image,Cover Image
47,ka.activerecord.attributes.highlight/translation.is_public,Is Public?,Is Public?
48,ka.activerecord.attributes.highlight/translation.published_at,Date Made Public,Date Made Public
49,ka.activerecord.attributes.highlight/translation.title,Title,Title
50,ka.activerecord.attributes.highlight/translation.summary,Summary,Summary
51,ka.activerecord.attributes.highlight/translation.link,Link To,Link To
52,ka.activerecord.attributes.illustration.person_id,Person,Person
53,ka.activerecord.attributes.illustration.image,Image,Image
54,ka.activerecord.attributes.illustration.is_public,Is Public?,Is Public?
55,ka.activerecord.attributes.illustration.published_at,Date Made Public,Date Made Public
