Line #,Key,en Version,ka Translation
1,ka.admin.js.true,true,true
2,ka.admin.js.false,false,false
3,ka.admin.js.is_present,Is present,Is present
4,ka.admin.js.is_blank,Is blank,Is blank
5,ka.admin.js.date,Date ...,Date ...
6,ka.admin.js.between_and_,Between ... and ...,Between ... and ...
7,ka.admin.js.today,Today,Today
8,ka.admin.js.yesterday,Yesterday,Yesterday
9,ka.admin.js.this_week,This week,This week
10,ka.admin.js.last_week,Last week,Last week
11,ka.admin.js.number,Number ...,Number ...
12,ka.admin.js.contains,Contains,Contains
13,ka.admin.js.is_exactly,Is exactly,Is exactly
14,ka.admin.js.starts_with,Starts with,Starts with
15,ka.admin.js.ends_with,Ends with,Ends with
16,ka.admin.js.too_many_objects,"Too many objects, use search box above","Too many objects, use search box above"
17,ka.admin.js.no_objects,No objects found,No objects found
18,ka.admin.loading,Loading...,Loading...
19,ka.admin.toggle_navigation,Toggle navigation,Toggle navigation
20,ka.admin.home.name,Home,Home
21,ka.admin.pagination.previous,&laquo; Prev,&laquo; Prev
22,ka.admin.pagination.next,Next &raquo;,Next &raquo;
23,ka.admin.pagination.truncate,…,…
24,ka.admin.misc.search,Search,Search
25,ka.admin.misc.filter,Filter,Filter
26,ka.admin.misc.refresh,Refresh,Refresh
27,ka.admin.misc.show_all,Show all,Show all
28,ka.admin.misc.add_filter,Add filter,Add filter
29,ka.admin.misc.bulk_menu_title,Selected items,Selected items
30,ka.admin.misc.remove,Remove,Remove
31,ka.admin.misc.add_new,Add new,Add new
32,ka.admin.misc.chosen,Chosen %{name},Chosen %{name}
33,ka.admin.misc.chose_all,Choose all,Choose all
34,ka.admin.misc.clear_all,Clear all,Clear all
35,ka.admin.misc.up,Up,Up
36,ka.admin.misc.down,Down,Down
37,ka.admin.misc.navigation,Navigation,Navigation
38,ka.admin.misc.navigation_static_label,Links,Links
39,ka.admin.misc.log_out,Log out,Log out
40,ka.admin.misc.ago,ago,ago
41,ka.admin.misc.more,Plus %{count} more %{models_name},Plus %{count} more %{models_name}
42,ka.admin.flash.successful,%{name} successfully %{action},%{name} successfully %{action}
43,ka.admin.flash.error,%{name} failed to be %{action},%{name} failed to be %{action}
44,ka.admin.flash.noaction,No actions were taken,No actions were taken
45,ka.admin.flash.model_not_found,Model '%{model}' could not be found,Model '%{model}' could not be found
46,ka.admin.flash.object_not_found,%{model} with id '%{id}' could not be found,%{model} with id '%{id}' could not be found
47,ka.admin.table_headers.model_name,Model name,Model name
48,ka.admin.table_headers.last_created,Last created,Last created
49,ka.admin.table_headers.records,Records,Records
50,ka.admin.table_headers.username,User,User
51,ka.admin.table_headers.changes,Changes,Changes
52,ka.admin.table_headers.created_at,Date/Time,Date/Time
53,ka.admin.table_headers.item,Item,Item
54,ka.admin.table_headers.message,Message,Message
55,ka.admin.actions.dashboard.title,Site Administration,Site Administration
56,ka.admin.actions.dashboard.menu,Dashboard,Dashboard
57,ka.admin.actions.dashboard.breadcrumb,Dashboard,Dashboard
58,ka.admin.actions.index.title,List of %{model_label_plural},List of %{model_label_plural}
59,ka.admin.actions.index.menu,List,List
60,ka.admin.actions.index.breadcrumb,%{model_label_plural},%{model_label_plural}
61,ka.admin.actions.show.title,Details for %{model_label} '%{object_label}',Details for %{model_label} '%{object_label}'
62,ka.admin.actions.show.menu,Show,Show
63,ka.admin.actions.show.breadcrumb,%{object_label},%{object_label}
64,ka.admin.actions.show_in_app.menu,Show in app,Show in app
65,ka.admin.actions.new.title,New %{model_label},New %{model_label}
66,ka.admin.actions.new.menu,Add new,Add new
67,ka.admin.actions.new.breadcrumb,New,New
