Line #,Key,en Version,ru Translation
1,ru.admin.js.true,true,true
2,ru.admin.js.false,false,false
3,ru.admin.js.is_present,Is present,Is present
4,ru.admin.js.is_blank,Is blank,Is blank
5,ru.admin.js.date,Date ...,Date ...
6,ru.admin.js.between_and_,Between ... and ...,Between ... and ...
7,ru.admin.js.today,Today,Today
8,ru.admin.js.yesterday,Yesterday,Yesterday
9,ru.admin.js.this_week,This week,This week
10,ru.admin.js.last_week,Last week,Last week
11,ru.admin.js.number,Number ...,Number ...
12,ru.admin.js.contains,Contains,Contains
13,ru.admin.js.is_exactly,Is exactly,Is exactly
14,ru.admin.js.starts_with,Starts with,Starts with
15,ru.admin.js.ends_with,Ends with,Ends with
16,ru.admin.js.too_many_objects,"Too many objects, use search box above","Too many objects, use search box above"
17,ru.admin.js.no_objects,No objects found,No objects found
18,ru.admin.loading,Loading...,Loading...
19,ru.admin.toggle_navigation,Toggle navigation,Toggle navigation
20,ru.admin.home.name,Home,Home
21,ru.admin.pagination.previous,&laquo; Prev,&laquo; Prev
22,ru.admin.pagination.next,Next &raquo;,Next &raquo;
23,ru.admin.pagination.truncate,…,…
24,ru.admin.misc.search,Search,Search
25,ru.admin.misc.filter,Filter,Filter
26,ru.admin.misc.refresh,Refresh,Refresh
27,ru.admin.misc.show_all,Show all,Show all
28,ru.admin.misc.add_filter,Add filter,Add filter
29,ru.admin.misc.bulk_menu_title,Selected items,Selected items
30,ru.admin.misc.remove,Remove,Remove
31,ru.admin.misc.add_new,Add new,Add new
32,ru.admin.misc.chosen,Chosen %{name},Chosen %{name}
33,ru.admin.misc.chose_all,Choose all,Choose all
34,ru.admin.misc.clear_all,Clear all,Clear all
35,ru.admin.misc.up,Up,Up
36,ru.admin.misc.down,Down,Down
37,ru.admin.misc.navigation,Navigation,Navigation
38,ru.admin.misc.navigation_static_label,Links,Links
39,ru.admin.misc.log_out,Log out,Log out
40,ru.admin.misc.ago,ago,ago
41,ru.admin.misc.more,Plus %{count} more %{models_name},Plus %{count} more %{models_name}
42,ru.admin.flash.successful,%{name} successfully %{action},%{name} successfully %{action}
43,ru.admin.flash.error,%{name} failed to be %{action},%{name} failed to be %{action}
44,ru.admin.flash.noaction,No actions were taken,No actions were taken
45,ru.admin.flash.model_not_found,Model '%{model}' could not be found,Model '%{model}' could not be found
46,ru.admin.flash.object_not_found,%{model} with id '%{id}' could not be found,%{model} with id '%{id}' could not be found
47,ru.admin.table_headers.model_name,Model name,Model name
48,ru.admin.table_headers.last_created,Last created,Last created
49,ru.admin.table_headers.records,Records,Records
50,ru.admin.table_headers.username,User,User
51,ru.admin.table_headers.changes,Changes,Changes
52,ru.admin.table_headers.created_at,Date/Time,Date/Time
53,ru.admin.table_headers.item,Item,Item
54,ru.admin.table_headers.message,Message,Message
55,ru.admin.actions.dashboard.title,Site Administration,Site Administration
56,ru.admin.actions.dashboard.menu,Dashboard,Dashboard
57,ru.admin.actions.dashboard.breadcrumb,Dashboard,Dashboard
58,ru.admin.actions.index.title,List of %{model_label_plural},List of %{model_label_plural}
59,ru.admin.actions.index.menu,List,List
60,ru.admin.actions.index.breadcrumb,%{model_label_plural},%{model_label_plural}
61,ru.admin.actions.show.title,Details for %{model_label} '%{object_label}',Details for %{model_label} '%{object_label}'
62,ru.admin.actions.show.menu,Show,Show
63,ru.admin.actions.show.breadcrumb,%{object_label},%{object_label}
64,ru.admin.actions.show_in_app.menu,Show in app,Show in app
65,ru.admin.actions.new.title,New %{model_label},New %{model_label}
66,ru.admin.actions.new.menu,Add new,Add new
67,ru.admin.actions.new.breadcrumb,New,New
68,ru.admin.actions.new.link,Add a new %{model_label},Add a new %{model_label}
69,ru.admin.actions.new.done,created,created
70,ru.admin.actions.edit.title,Edit %{model_label} '%{object_label}',Edit %{model_label} '%{object_label}'
71,ru.admin.actions.edit.menu,Edit,Edit
72,ru.admin.actions.edit.breadcrumb,Edit,Edit
73,ru.admin.actions.edit.link,Edit this %{model_label},Edit this %{model_label}
74,ru.admin.actions.edit.done,updated,updated
75,ru.admin.actions.delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
76,ru.admin.actions.delete.menu,Delete,Delete
77,ru.admin.actions.delete.breadcrumb,Delete,Delete
78,ru.admin.actions.delete.link,Delete '%{object_label}',Delete '%{object_label}'
79,ru.admin.actions.delete.done,deleted,deleted
80,ru.admin.actions.bulk_delete.title,Delete %{model_label_plural},Delete %{model_label_plural}
81,ru.admin.actions.bulk_delete.menu,Multiple delete,Multiple delete
82,ru.admin.actions.bulk_delete.breadcrumb,Multiple delete,Multiple delete
