Line #,Key,en Version,ru Translation
1,ru.activerecord.models.highlight.one,Highlight,Highlight
2,ru.activerecord.models.highlight.other,Highlights,Highlights
3,ru.activerecord.models.illustration.one,Image,Image
4,ru.activerecord.models.illustration.other,Images,Images
5,ru.activerecord.models.illustration_annotation.one,Annotation,Annotation
6,ru.activerecord.models.illustration_annotation.other,Annotations,Annotations
7,ru.activerecord.models.illustration_issue.one,Image Issue,Image Issue
8,ru.activerecord.models.illustration_issue.other,Image Issues,Image Issues
9,ru.activerecord.models.illustration_publication.one,Image Source,Image Source
10,ru.activerecord.models.illustration_publication.other,Image Sources,Image Sources
11,ru.activerecord.models.illustration_tag.one,Image Tag,Image Tag
12,ru.activerecord.models.illustration_tag.other,Image Tags,Image Tags
13,ru.activerecord.models.issue.one,Issue,Issue
14,ru.activerecord.models.issue.other,Issues,Issues
15,ru.activerecord.models.news.one,News Item,News Item
16,ru.activerecord.models.news.other,News,News
17,ru.activerecord.models.page_content.one,Page Text,Page Text
18,ru.activerecord.models.page_content.other,Page Text,Page Text
19,ru.activerecord.models.person.one,Person,Person
20,ru.activerecord.models.person.other,People,People
21,ru.activerecord.models.person_role.one,Person,Person
22,ru.activerecord.models.person_role.other,People,People
23,ru.activerecord.models.publication.one,Source,Source
24,ru.activerecord.models.publication.other,Sources,Sources
25,ru.activerecord.models.publication_editor.one,Journal Editor,Journal Editor
26,ru.activerecord.models.publication_editor.other,Journal Editors,Journal Editors
27,ru.activerecord.models.publication_language.one,Language,Language
28,ru.activerecord.models.publication_language.other,Languages,Languages
29,ru.activerecord.models.related_item.one,Related Item,Related Item
30,ru.activerecord.models.related_item.other,Related Items,Related Items
31,ru.activerecord.models.research.one,Research,Research
32,ru.activerecord.models.research.other,Research,Research
33,ru.activerecord.models.role.one,Person Role,Person Role
34,ru.activerecord.models.role.other,Person Roles,Person Roles
35,ru.activerecord.models.slideshow.one,Slideshow Image,Slideshow Image
36,ru.activerecord.models.slideshow.other,Slideshow Images,Slideshow Images
37,ru.activerecord.models.tag.one,Tag,Tag
38,ru.activerecord.models.tag.other,Tags,Tags
39,ru.activerecord.models.user.one,User,User
40,ru.activerecord.models.user.other,Users,Users
41,ru.activerecord.attributes.highlight.is_public,Is Public?,Is Public?
42,ru.activerecord.attributes.highlight.published_at,Date Made Public,Date Made Public
43,ru.activerecord.attributes.highlight.title,Title,Title
44,ru.activerecord.attributes.highlight.summary,Summary,Summary
45,ru.activerecord.attributes.highlight.link,Link To,Link To
46,ru.activerecord.attributes.highlight.cover_image,Cover Image,Cover Image
47,ru.activerecord.attributes.highlight.updated_at,Last Updated,Last Updated
48,ru.activerecord.attributes.highlight/translation.is_public,Is Public?,Is Public?
49,ru.activerecord.attributes.highlight/translation.published_at,Date Made Public,Date Made Public
50,ru.activerecord.attributes.highlight/translation.title,Title,Title
51,ru.activerecord.attributes.highlight/translation.summary,Summary,Summary
52,ru.activerecord.attributes.highlight/translation.link,Link To,Link To
53,ru.activerecord.attributes.illustration.person_id,Person,Person
54,ru.activerecord.attributes.illustration.image,Image,Image
55,ru.activerecord.attributes.illustration.is_public,Is Public?,Is Public?
56,ru.activerecord.attributes.illustration.published_at,Date Made Public,Date Made Public
57,ru.activerecord.attributes.illustration.title,Title,Title
58,ru.activerecord.attributes.illustration.context,Context,Context
59,ru.activerecord.attributes.illustration.illustration_annotation,Annotation,Annotation
60,ru.activerecord.attributes.illustration.illustration_annotations,Annotations,Annotations
61,ru.activerecord.attributes.illustration.person_role,Person,Person
62,ru.activerecord.attributes.illustration.updated_at,Last Updated,Last Updated
63,ru.activerecord.attributes.illustration/translation.is_public,Is Public?,Is Public?
64,ru.activerecord.attributes.illustration/translation.published_at,Date Made Public,Date Made Public
65,ru.activerecord.attributes.illustration/translation.title,Title,Title
66,ru.activerecord.attributes.illustration/translation.context,Context,Context
67,ru.activerecord.attributes.illustration_annotations.sort,Sort,Sort
68,ru.activerecord.attributes.illustration_annotations.annotation,Annotation,Annotation
69,ru.activerecord.attributes.illustration_issue.illustration_id,Image,Image
70,ru.activerecord.attributes.illustration_issue.issue_id,Issue,Issue
71,ru.activerecord.attributes.illustration_issue.page_number_start,Page Number Start,Page Number Start
72,ru.activerecord.attributes.illustration_issue.page_number_end,Page Number End,Page Number End
73,ru.activerecord.attributes.illustration_issue.is_public,,
74,ru.activerecord.attributes.illustration_publication.illustration_id,Image,Image
75,ru.activerecord.attributes.illustration_publication.publication_id,Source,Source
76,ru.activerecord.attributes.illustration_publication.page_number_start,Page Number Start,Page Number Start
77,ru.activerecord.attributes.illustration_publication.page_number_end,Page Number End,Page Number End
78,ru.activerecord.attributes.illustration_publication.is_public,Is Public?,Is Public?
79,ru.activerecord.attributes.illustration_tag.illustration_id,Image,Image
80,ru.activerecord.attributes.illustration_tag.tag_id,Tag,Tag
81,ru.activerecord.attributes.issue.publication,Journal,Journal
82,ru.activerecord.attributes.issue.publication_id,Journal,Journal
83,ru.activerecord.attributes.issue.issue_number,Issue Number,Issue Number
84,ru.activerecord.attributes.issue.date_publication,Publication Date,Publication Date
85,ru.activerecord.attributes.issue.is_public,Is Public?,Is Public?
86,ru.activerecord.attributes.issue.published_at,Date Made Public,Date Made Public
87,ru.activerecord.attributes.issue.scanned_file,PDF File,PDF File
88,ru.activerecord.attributes.issue.cover_image,Cover Image,Cover Image
89,ru.activerecord.attributes.issue.updated_at,Last Updated,Last Updated
90,ru.activerecord.attributes.news.is_public,Is Public?,Is Public?
91,ru.activerecord.attributes.news.published_at,Date Made Public,Date Made Public
92,ru.activerecord.attributes.news.title,Title,Title
93,ru.activerecord.attributes.news.summary,Summary,Summary
94,ru.activerecord.attributes.news.text,Text,Text
95,ru.activerecord.attributes.news.cover_image,Cover Image,Cover Image
96,ru.activerecord.attributes.news.slideshow,Sliedshow Image,Sliedshow Image
97,ru.activerecord.attributes.news.slideshows,Sliedshow Images,Sliedshow Images
98,ru.activerecord.attributes.news.related_item,Related Item,Related Item
99,ru.activerecord.attributes.news.related_items,Related Items,Related Items
100,ru.activerecord.attributes.news.related_item_type,Type,Type
101,ru.activerecord.attributes.news.publication_id,Source,Source
102,ru.activerecord.attributes.news.issue_id,Issue,Issue
103,ru.activerecord.attributes.news.illustration_id,Image,Image
104,ru.activerecord.attributes.news.updated_at,Last Updated,Last Updated
105,ru.activerecord.attributes.news/translation.is_public,Is Public?,Is Public?
106,ru.activerecord.attributes.news/translation.published_at,Date Made Public,Date Made Public
107,ru.activerecord.attributes.news/translation.title,Title,Title
108,ru.activerecord.attributes.news/translation.summary,Summary,Summary
109,ru.activerecord.attributes.news/translation.text,Text,Text
110,ru.activerecord.attributes.page_content.name,Name,Name
111,ru.activerecord.attributes.page_content.content,Text,Text
112,ru.activerecord.attributes.page_content.updated_at,Last Updated,Last Updated
113,ru.activerecord.attributes.page_content/translation.content,Text,Text
